type,product,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_mg_per_gram_of_serving
cookie,Beryl's Chocolate Orange Cashew Nuts Cookies,1.769230769230769,2.923076923076923,
cookie,Beryl's Coconut Sable with Macadamia Nuts,7.071428571428572,3.642857142857143,
cookie,Beryl's Cookies Chocolate Sable,0.28800000000000003,0.368,
cookie,Beryl's Strawberry Sable,6.714285714285715,3.428571428571429,
cookie,Beryl's Cookies Exquisite Selection (Tin),2.3529411764705883,2.9411764705882355,
cookie,Chipsmore Cookies Multipack - Original,0.21428571428571427,0.30357142857142855,3.5
cookie,Chipsmore Cookies Multipack - Double Chocolate,0.21071428571428572,0.30357142857142855,3.357142857142857
cookie,FUEL10K Double Chocolate High Protein Oat Cookie,0.149,0.038,
cookie,Jules Destrooper Biscuits - Belgian Chocolate Thins,0.25,0.51,
cookie,Julie's Oat 25 Cookies - Hazelnuts &amp; Chocolate Chips,0.24,0.0,3.2
cookie,Lee Chocolate Chips,0.2,0.247,3.55
cookie,Marks &amp; Spencer Belgian White Chocolate Chunk Cookies,0.281,,
cookie,Marks &amp; Spencer Mini Chocolate Chip Cookie Bags,0.213,,
cookie,Marks &amp; Spencer Triple Belgian Chocolate Chunk Cookies,0.261,,
cookie,Munchy's Oat Krunch - Dark Chocolate,0.19230769230769232,0.2692307692307692,1.9230769230769231
cookie,Munchy's Oat Krunch - Nutty Chocolate,0.19230769230769232,0.22307692307692306,1.9230769230769231
cookie,Pasta Natura Organic Chocolate Chips Biscuits - Gluten Free,0.22,0.24,
cookie,Pasta Natura Organic Cocoa and Hazelnuts Biscuits Gluten Free,0.21,0.12,
cookie,Serious Food Company Serious Cookies - Chocolate Chip,0.24117647058823527,0.32941176470588235,3.2941176470588234
cookie,Quaker Oats Cookies - Chocolate Chip,0.17407407407407408,0.3333333333333333,4.525925925925926
cookie,Sanwa Oat Nutrition Choco,0.27699999999999997,,3.07
cookie,Serious Food Company Serious Cookies - White Choc Macadamia,0.25882352941176473,0.31176470588235294,3.411764705882353
crackers,Julie's Crackers - Butter,0.32,0.08,5.6
crackers,Julie's Veggie Crackers,0.2608695652173913,0.043478260869565216,6.086956521739131
crackers,Ritz Crackers Box - Original,0.2631578947368421,0.05263157894736842,6.842105263157895
crackers,Hup Seng Crackers - Cream,0.22580645161290322,0.03225806451612903,5.806451612903226
crackers,Hup Seng Crackers - Sugar,0.13333333333333333,0.17777777777777778,6.222222222222222
crackers,Munchy's Crackers - Cream,0.19,0.02,5.1
crackers,FairPrice Cream Crackers - Special,0.228,0.139,4.19
crackers,FairPrice Cream Crackers,0.215,0.016,3.67
crackers,Munchy's Crackers - Sugar,0.2,0.13333333333333333,5.333333333333333
crackers,Khong Guan Crackers - Cream,0.15384615384615385,0.038461538461538464,8.26923076923077
crackers,Julie's Crackers - Wheat,0.32,0.04,6.4
crackers,Hup Seng Crackers - Cream (Special),0.26666666666666666,0.044444444444444446,4.444444444444445
crackers,Lee Cream Crackers,0.21,0.03,5.47
crackers,Munchy's Lexus Sandwich Calcium Crackers - Vegetable,0.24,0.13,4.37
crackers,Khong Guan Crackers - Family,0.25,0.027777777777777776,5.277777777777778
crackers,Hup Seng Crackers - Wholemeal,0.26666666666666666,0.044444444444444446,4.444444444444445
crackers,Khong Guan Biscuits - Sultana,0.13333333333333333,0.36666666666666664,2.8333333333333335
crackers,Munchy's Crackers - Vegetables,0.18,0.02,5.0
crackers,Nabisco Chicken in a Biskit Baked Snack Crackers,0.25806451612903225,0.06451612903225806,7.419354838709677
crackers,Cowhead Crispy Crackers - Cheese,0.23076923076923078,0.19230769230769232,4.038461538461538
crackers,Shoon Fatt Crackers - Light Treat (Cream Special),0.25,0.05,5.3
crackers,Shoon Fatt Crackers - Sweeties (Sugar),0.15,0.15,6.0
cream,Arnott's Tim Tam Biscuits - Chewy Caramel,0.239,0.46799999999999997,1.93
cream,Cowhead Sandwich Crackers with Calcium - Cheese,0.25,0.0,0.0
cream,Glico Collon Biscuit Roll - Chocolate,0.2391304347826087,0.38913043478260867,0.2608695652173913
cream,Jack 'n Jill Dewberry Sandwich Biscuits - Blueberry,0.275,0.35,5.083333333333333
cream,Jack 'n Jill Dewberry Sandwich Biscuits - Strawberry,0.21944444444444444,0.3333333333333333,2.7777777777777777
cream,Julie's Le-Mond Sandwich Biscuits - Cheddar Cheese,0.25555555555555554,0.15000000000000002,0.0
cream,Julie's Le-Mond Sandwich Biscuits - Lemon,0.22941176470588234,0.6235294117647059,0.0
