,type,product,per_serving_g,total_fat_g,sugars_g,sodium_g,total_fat_g_per_gram_of_serving,sugars_g_per_gram_of_serving,sodium_g_per_gram_of_serving,imageLink
0,cookie,https://www.fairprice.com.sg/search?query=Beryl's Chocolate Orange Cashew Nuts Cookies,25.0,4.6,7.6,0.0,0.184,0.304,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90054476_XL1_20210428.jpg
1,cookie,https://www.fairprice.com.sg/search?query=Beryl's Coconut Sable with Macadamia Nuts,25.0,9.9,5.1,0.0,0.396,0.204,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90056744_XL1_20210428.jpg
2,cookie,https://www.fairprice.com.sg/search?query=Beryl's Cookies Chocolate Sable,25.0,7.2,9.2,0.0,0.288,0.368,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90040649_XL1_20210428.jpg
3,cookie,https://www.fairprice.com.sg/search?query=Beryl's Strawberry Sable,25.0,9.4,4.8,0.0,0.376,0.192,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90053941_XL1_20201230.jpg
4,cookie,https://www.fairprice.com.sg/search?query=Beryl's Cookies Exquisite Selection (Tin),25.0,4.0,5.0,0.0,0.16,0.2,0.0,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90040652_XL1_20230130.jpg
5,cookie,https://www.fairprice.com.sg/search?query=Chipsmore Cookies Multipack - Original,28.0,6.0,8.5,0.098,0.2142857142857142,0.3035714285714285,0.0035,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13162989_XL1_20220308.jpg
6,cookie,https://www.fairprice.com.sg/search?query=Chipsmore Cookies Multipack - Double Chocolate,28.0,5.9,8.5,0.094,0.2107142857142857,0.3035714285714285,0.003357143,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13162990_XL1_20230630.jpg
7,cookie,https://www.fairprice.com.sg/search?query=FUEL10K Double Chocolate High Protein Oat Cookie,100.0,14.9,3.8,0.2799999999999999,0.149,0.038,0.0028,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90158283_XL1_20230110.jpg
8,cookie,https://www.fairprice.com.sg/search?query=Jules Destrooper Biscuits - Belgian Chocolate Thins,100.0,25.0,51.0,0.24,0.25,0.51,0.0024,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11093580_XL1.jpg
9,cookie,https://www.fairprice.com.sg/search?query=Julie's Oat 25 Cookies - Hazelnuts &amp; Chocolate Chips,25.0,6.0,6.5,0.08,0.24,0.26,0.0032,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13054342_XL1_20210504.jpg
10,cookie,https://www.fairprice.com.sg/search?query=Lee Chocolate Chips,100.0,20.0,24.7,0.355,0.2,0.247,0.00355,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90022788_XL1.jpg
11,cookie,https://www.fairprice.com.sg/search?query=Marks &amp; Spencer Belgian White Chocolate Chunk Cookies,100.0,28.1,32.4,0.3,0.281,0.324,0.003,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154855_XL1_20221203.jpg
12,cookie,https://www.fairprice.com.sg/search?query=Marks &amp; Spencer Mini Chocolate Chip Cookie Bags,100.0,21.3,30.1,0.32,0.213,0.301,0.0032,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154855_XL1_20221203.jpg
13,cookie,https://www.fairprice.com.sg/search?query=Marks &amp; Spencer Triple Belgian Chocolate Chunk Cookies,100.0,26.1,31.0,0.24,0.261,0.31,0.0024,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154855_XL1_20221203.jpg
14,cookie,https://www.fairprice.com.sg/search?query=Munchy's Oat Krunch - Dark Chocolate,26.0,5.0,7.0,0.05,0.1923076923076923,0.2692307692307692,0.001923077,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13084525_XL1_20210524.jpg
15,cookie,https://www.fairprice.com.sg/search?query=Munchy's Oat Krunch - Nutty Chocolate,26.0,5.0,5.8,0.05,0.1923076923076923,0.223076923076923,0.001923077,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13101949_XL1_20220530.jpg
